id,jp,zh,status,kind,src,ctl,occurrences,note
91590,ブレイブハーツ,Brave Hearts,translated,proper-noun,cca2dae60c,br=0 nl=0,13,
91591,シェルノサージュ・ゲームパート,Ciel nosurge游戏部分,translated,proper-noun,10b5e3746c,br=0 nl=0,13,
91592,ワールドイラスト,世界插画,translated,proper-noun,5cd301b8d2,br=0 nl=0,13,
91593,チーム・ティルドーン,Team TillDawn,translated,proper-noun,20dce76a53,br=0 nl=0,13,
91594,シナリオライターセクション,编剧部门,translated,proper-noun,a1348aacfb,br=0 nl=0,13,
91595,リードプログラマー,主程序员,translated,proper-noun,9229f02856,br=0 nl=0,13,
91596,モジュール,模块,translated,proper-noun,7f70a4d3ed,br=0 nl=0,13,
91597,プログラムサポート,程序支援,translated,proper-noun,26d10aad29,br=0 nl=0,13,
91598,ネットワークセクション,网络部门,translated,proper-noun,4e67a84cd1,br=0 nl=0,13,
91599,ウェブエンジニア,网页工程师,translated,proper-noun,6cb6815dad,br=0 nl=0,13,
91600,ウェブオペレーション,网页运维,translated,proper-noun,0299d42ed3,br=0 nl=0,13,
91601,モーション,动作,translated,proper-noun,52edcb822b,br=0 nl=0,13,
91602,アートディレクター,艺术总监,translated,proper-noun,c34e651c44,br=0 nl=0,13,
91603,メインアニメーター,主动画师,translated,proper-noun,4a9646d5bb,br=0 nl=0,13,
91604,イベントプログラム,事件程序,translated,proper-noun,45c20cb56a,br=0 nl=0,13,
91605,インターフェイスデザイン,界面设计,translated,proper-noun,8fe4dab4e8,br=0 nl=0,13,
91606,オープニングムービー,片头影像,translated,proper-noun,bddc00b466,br=0 nl=0,13,
91607,プロモーションムービー,宣传影像,translated,proper-noun,375c066366,br=0 nl=0,13,
91608,ジェノミライムービー,杰诺米莱伊影像,translated,proper-noun,f6e7d2fd93,br=0 nl=0,13,
91609,ミュージックディレクター,音乐总监,translated,proper-noun,d43c0fd3f4,br=0 nl=0,13,
91610,シタール,锡塔尔琴,translated,proper-noun,8f25ffe37e,br=0 nl=0,13,
91611,カンテレ,康特勒琴,translated,proper-noun,99e23b542c,br=0 nl=0,13,
91612,・キャスティング,・选角,translated,proper-noun,34a849dc40,br=0 nl=0,13,
91613,ミキサー,调音师,translated,proper-noun,61f92a39b5,br=0 nl=0,13,
91614,キャスティング,选角,translated,proper-noun,456285fda8,br=0 nl=0,13,
91615,ポイントピクチャーズ,Point Pictures,translated,proper-noun,00922c67ae,br=0 nl=0,13,
91616,プロダクション・アイジー,Production I.G,translated,proper-noun,a4c74884dc,br=0 nl=0,13,
91617,フォントワークス,Fontworks,translated,proper-noun,b4bbc044a6,br=0 nl=0,13,
91618,エグゼクティブプロデューサー,执行制作人,translated,proper-noun,5e38e342d6,br=0 nl=0,13,
91619,コーエーテクモゲームス,光荣特库摩游戏,translated,proper-noun,df33339544,br=0 nl=0,13,
91620,エレベーター,升降梯,translated,proper-noun,6bc049363d,br=0 nl=0,13,
91621,アドレス,地址,translated,proper-noun,9eb546815c,br=0 nl=0,13,
91622,パニック,恐慌,translated,proper-noun,c3902babca,br=0 nl=0,13,
91623,ワイヤレスシップ,无线导船,translated,proper-noun,3d7213b750,br=0 nl=0,13,
91624,アドバイス,建议,translated,proper-noun,2129038bf6,br=0 nl=0,13,
91625,ミステリー,悬疑,translated,proper-noun,7ccf486031,br=0 nl=0,13,
91626,シロップ,糖浆,translated,proper-noun,2a4ddd8740,br=0 nl=0,13,
91627,オッケー,好,translated,proper-noun,94af695c6f,br=0 nl=0,13,
91628,ルール,规则,translated,proper-noun,fafa32e8be,br=0 nl=0,12,
91629,リラックス,放松,translated,proper-noun,0d1d0ae682,br=0 nl=0,12,
91630,シチュエーション,情境,translated,proper-noun,c798f0fa16,br=0 nl=0,12,
91631,アイドル,偶像,translated,proper-noun,e675291623,br=0 nl=0,12,
91632,ジャンケン,猜拳,translated,proper-noun,edfd4fa87a,br=0 nl=0,12,
91633,ドラゴン,龙,translated,proper-noun,ba8c67df93,br=0 nl=0,12,
91634,ボーッ,发呆,translated,proper-noun,ff9ca079aa,br=0 nl=0,12,
91635,アナウンス,广播,translated,proper-noun,b5971b521c,br=0 nl=0,12,
91636,ニュース,新闻,translated,proper-noun,68cd1ffec8,br=0 nl=0,12,
91637,レート,比率,translated,proper-noun,bfb236f4c2,br=0 nl=0,12,
91638,フクー,福库,translated,proper-noun,7ae7e23f48,br=0 nl=0,12,
91639,センス,感觉,translated,proper-noun,8e5e7fe8b7,br=0 nl=0,12,
91640,エセンエリタス,艾森埃利塔斯,translated,proper-noun,c367ef50fd,br=0 nl=0,12,
91641,エビパン,虾面包,translated,proper-noun,b77dea9aa5,br=0 nl=0,12,
91642,カフェットエプロン,咖啡围裙,translated,proper-noun,a5075cf2fa,br=0 nl=0,12,
91643,カプセル,胶囊,translated,proper-noun,b0d9f2fa73,br=0 nl=0,12,
91644,グラビトン,引力子,translated,proper-noun,060f7dcc0c,br=0 nl=0,12,
91645,ステリエルクラス,斯特利埃尔级,translated,proper-noun,34db9902f4,br=0 nl=0,12,
91646,メディア,媒体,translated,proper-noun,4f48dbef74,br=0 nl=0,12,
91647,タップリ,充分,translated,proper-noun,59e8630667,br=0 nl=0,12,
91648,チョコレート,巧克力,translated,proper-noun,b9945947e5,br=0 nl=0,12,
91649,ドクトルコート,医生大褂,translated,proper-noun,ce3153753e,br=0 nl=0,12,
91650,ノエリア,诺艾莉亚,translated,proper-noun,5f54b4a47a,br=0 nl=0,12,
91651,ハーモニウム,簧风琴,translated,proper-noun,2e7e924818,br=0 nl=0,12,
91652,フォトン,光子,translated,proper-noun,ded68a9798,br=0 nl=0,12,
91653,ヴェルグリス,铜绿,translated,proper-noun,1d503d62b7,br=0 nl=0,12,
91654,マスタード,芥末,translated,proper-noun,3db5c9ddbf,br=0 nl=0,12,
91655,ランク,阶级,translated,proper-noun,e6724c7a35,br=0 nl=0,12,
91656,ミキシングスタジオ,混音工作室,translated,proper-noun,10e5c39a7e,br=0 nl=0,12,
91657,チーム,团队,translated,proper-noun,d873d27b1c,br=0 nl=0,12,
91658,スタイル,风格,translated,proper-noun,ccc33c6323,br=0 nl=0,12,
91659,フツー,普通,translated,proper-noun,32b81ce85c,br=0 nl=0,12,
91660,シェア,份额,translated,proper-noun,8ab527d6ab,br=0 nl=0,12,
91661,トラブル,麻烦,translated,proper-noun,6971c1eea2,br=0 nl=0,12,
91662,フラスク,烧瓶,translated,proper-noun,da4af96885,br=0 nl=0,12,
91663,エアポート,机场,translated,proper-noun,b593ea7f0a,br=0 nl=0,12,
